,Close,Open,High,Low,Volume
2024-01-10 09:30:00,450.0,450.0,450.045,449.955,115547
2024-01-10 09:31:00,450.06720427377104,450.0,450.1122109941984,449.955,111471
2024-01-10 09:32:00,450.07726198848894,450.06720427377104,450.1222697146878,450.0221975533437,97308
2024-01-10 09:33:00,450.1580678283583,450.07726198848894,450.2030836351411,450.0322542622901,107532
2024-01-10 09:34:00,450.3176965672309,450.1580678283583,450.3627283368876,450.11305202157547,114349
2024-01-10 09:35:00,450.3191237703895,450.3176965672309,450.3641556827666,450.2726647975742,85713
2024-01-10 09:36:00,450.320552456719,450.3191237703895,450.36558451196464,450.27409185801247,84804
2024-01-10 09:37:00,450.48529888184714,450.320552456719,450.5303474117353,450.27552040147333,90136
2024-01-10 09:38:00,450.57696675945823,450.48529888184714,450.62202445613417,450.440250351959,80009
2024-01-10 09:39:00,450.55718873883905,450.57696675945823,450.62202445613417,450.5121330199652,99255
2024-01-10 09:40:00,450.62860746386804,450.55718873883905,450.6736703246144,450.5121330199652,103793
2024-01-10 09:41:00,450.60937304032404,450.62860746386804,450.6736703246144,450.56431210302003,109548
2024-01-10 09:42:00,450.5899310705236,450.60937304032404,450.65443397762806,450.5448720774166,117892
2024-01-10 09:43:00,450.63426571973054,450.5899310705236,450.6793291463025,450.5448720774166,81015
2024-01-10 09:44:00,450.4843595053831,450.63426571973054,450.6793291463025,450.43931106943256,107712
2024-01-10 09:45:00,450.35147402236265,450.4843595053831,450.52940794133366,450.3064388749604,114961
2024-01-10 09:46:00,450.3233461925402,450.35147402236265,450.3965091697649,450.278313857921,88415
2024-01-10 09:47:00,450.2546420600025,450.3233461925402,450.36837852715945,450.2096165957965,103833
2024-01-10 09:48:00,450.30545305615675,450.2546420600025,450.3504836014624,450.2096165957965,84158
2024-01-10 09:49:00,450.2461906902669,450.30545305615675,450.3504836014624,450.2011660711979,100309
2024-01-10 09:50:00,450.1415261274767,450.2461906902669,450.29121530933594,450.096511974864,86970
2024-01-10 09:51:00,450.29598307850495,450.1415261274767,450.3410126768128,450.096511974864,86938
2024-01-10 09:52:00,450.2981646454222,450.29598307850495,450.34319446188675,450.2509534801971,101168
2024-01-10 09:53:00,450.3267611189811,450.2981646454222,450.37179379509297,450.2531348289577,100384
2024-01-10 09:54:00,450.22095700981555,450.3267611189811,450.37179379509297,450.1759349141146,98017
2024-01-10 09:55:00,450.19444955542303,450.22095700981555,450.2659791055165,450.1494301104675,90344
2024-01-10 09:56:00,450.2269466247444,450.19444955542303,450.2719693194069,450.1494301104675,88702
2024-01-10 09:57:00,450.14581630728617,450.2269466247444,450.2719693194069,450.10080172565546,80384
2024-01-10 09:58:00,450.2021473763322,450.14581630728617,450.24716759106985,450.10080172565546,80404
2024-01-10 09:59:00,450.17057571810136,450.2021473763322,450.24716759106985,450.1255586605296,109189
2024-01-10 10:00:00,450.16682185823174,450.17057571810136,450.21559277567314,450.12180517604594,92763
2024-01-10 10:01:00,450.135156528661,450.16682185823174,450.21183854041755,450.0901430130082,98384
2024-01-10 10:02:00,450.3244183925912,450.135156528661,450.3694508344305,450.0901430130082,112606
2024-01-10 10:03:00,450.3457189875349,450.3244183925912,450.3907535594336,450.27938595075193,89860
2024-01-10 10:04:00,450.272969155728,450.3457189875349,450.3907535594336,450.2279418588124,118757
2024-01-10 10:05:00,450.3695567521532,450.272969155728,450.4145937078284,450.2279418588124,95106
2024-01-10 10:06:00,450.2821090672906,450.3695567521532,450.4145937078284,450.2370808563839,103574
2024-01-10 10:07:00,450.32343268075726,450.2821090672906,450.36846502402534,450.2370808563839,103524
2024-01-10 10:08:00,450.1694517769698,450.32343268075726,450.36846502402534,450.12443483179214,83636
2024-01-10 10:09:00,450.07237849246064,450.1694517769698,450.2144687221475,450.0273712546114,90916
2024-01-10 10:10:00,450.11260247231746,450.07237849246064,450.1576137325647,450.0273712546114,84809
2024-01-10 10:11:00,450.2015867252733,450.11260247231746,450.2466068839458,450.0675912120702,112201
2024-01-10 10:12:00,450.2395268590308,450.2015867252733,450.28455081171666,450.15656656660076,93456
2024-01-10 10:13:00,450.25162494978485,450.2395268590308,450.29665011227985,450.1945029063449,118765
2024-01-10 10:14:00,450.2470230453889,450.25162494978485,450.29665011227985,450.20199834308437,114816
2024-01-10 10:15:00,450.13639537160725,450.2470230453889,450.29204774769346,450.0913817320701,97100
2024-01-10 10:16:00,450.0940965759367,450.13639537160725,450.1814090111444,450.0490871662791,101949
2024-01-10 10:17:00,450.07513512247294,450.0940965759367,450.1391059855943,450.0301276089607,84544
2024-01-10 10:18:00,450.1927957649904,450.07513512247294,450.2378150445669,450.0301276089607,117744
2024-01-10 10:19:00,450.2462443004701,450.1927957649904,450.2912689249001,450.14777648541394,106657
2024-01-10 10:20:00,450.1099961709846,450.2462443004701,450.2912689249001,450.0649851713675,116187
2024-01-10 10:21:00,450.1616763576379,450.1099961709846,450.20669252527364,450.0649851713675,87239
2024-01-10 10:22:00,450.14951458447825,450.1616763576379,450.20669252527364,450.1044996330198,94489
2024-01-10 10:23:00,450.11107883823763,450.14951458447825,450.1945295359367,450.06606773035384,108538
2024-01-10 10:24:00,450.18864884703356,450.11107883823763,450.23366771191826,450.06606773035384,112049
2024-01-10 10:25:00,450.3039871358748,450.18864884703356,450.3490175345884,450.14362998214887,117131
2024-01-10 10:26:00,450.41037416538734,450.3039871358748,450.45541520280386,450.2589567371612,88427
2024-01-10 10:27:00,450.3572962283675,450.41037416538734,450.45541520280386,450.31226049874465,104285
2024-01-10 10:28:00,450.3519628832692,450.3572962283675,450.4023319579903,450.3069276869809,117626
2024-01-10 10:29:00,450.4043175087262,450.3519628832692,450.44935794047706,450.3069276869809,102928
2024-01-10 10:30:00,450.51471567203777,450.4043175087262,450.559767143605,450.35927707697533,99198
2024-01-10 10:31:00,450.4940663987174,450.51471567203777,450.559767143605,450.44901699207753,99758
2024-01-10 10:32:00,450.49986344856524,450.4940663987174,450.5449134349101,450.44901699207753,95254
2024-01-10 10:33:00,450.4227076907941,450.49986344856524,450.5449134349101,450.377665420025,81252
2024-01-10 10:34:00,450.3374691008635,450.4227076907941,450.4677499615632,450.2924353539534,119764
2024-01-10 10:35:00,450.4331681388058,450.3374691008635,450.47821145561966,450.2924353539534,92173
2024-01-10 10:36:00,450.5778688957779,450.4331681388058,450.62292668266747,450.38812482199194,117441
2024-01-10 10:37:00,450.59390855579863,450.5778688957779,450.6389679466542,450.5328111088883,106698
2024-01-10 10:38:00,450.7068754133916,450.59390855579863,450.7519461009329,450.5488491649431,95781
2024-01-10 10:39:00,450.76200912573955,450.7068754133916,450.8070853266521,450.66180472585023,93051
2024-01-10 10:40:00,450.72638813085337,450.76200912573955,450.8070853266521,450.6813154920403,119649
2024-01-10 10:41:00,450.78150255745135,450.72638813085337,450.8265807077071,450.6813154920403,86949
2024-01-10 10:42:00,450.94270531946324,450.78150255745135,450.9877995899952,450.7364244071956,88017
2024-01-10 10:43:00,450.9620213565299,450.94270531946324,451.0071175586655,450.8976110489313,86941
