,Open,High,Low,Close,Volume
2025-08-11 22:09:23.377441,380.0,380.2024263190715,379.30913646942804,380.0,2380679
2025-08-11 23:09:23.377441,380.37750275628855,380.8225128006885,380.0826510452198,380.37750275628855,2452242
2025-08-12 00:09:23.377441,380.27231749708886,381.36455930539285,380.06201166197303,380.27231749708886,4463894
2025-08-12 01:09:23.377441,380.7649135398886,380.77539025033127,380.6758052387606,380.7649135398886,1783258
2025-08-12 02:09:23.377441,381.9247462030764,382.6016129443425,381.8298269736941,381.9247462030764,2896999
2025-08-12 03:09:23.377441,381.74588826664876,382.38006714114755,381.2875902422924,381.74588826664876,2220575
2025-08-12 04:09:23.377441,381.56712662543555,381.7415395306524,381.5135699132041,381.56712662543555,3852889
2025-08-12 05:09:23.377441,382.772278018122,383.00278810031665,382.0193382666595,382.772278018122,4102746
2025-08-12 06:09:23.377441,383.3597834971381,383.53949269445604,382.9314991370522,383.3597834971381,2360573
2025-08-12 07:09:23.377441,382.99982829923914,383.38220975102473,382.9286494080592,382.99982829923914,4177554
2025-08-12 08:09:23.377441,383.41542910631006,383.5311407770801,383.2965707131571,383.41542910631006,2877887
2025-08-12 09:09:23.377441,383.06006611921975,383.35352088131043,383.0383893289202,383.06006611921975,2761201
2025-08-12 10:09:23.377441,382.7032611788272,383.17281252485634,382.2367570822914,382.7032611788272,3693801
2025-08-12 11:09:23.377441,382.8884606796483,382.9268085198225,382.14140629029737,382.8884606796483,3337180
2025-08-12 12:09:23.377441,381.42331482419667,381.5010007411318,381.3685470374861,381.42331482419667,4485862
2025-08-12 13:09:23.377441,380.1074670692437,380.44119480642667,379.4164395906973,380.1074670692437,2400507
2025-08-12 14:09:23.377441,379.6800076922349,379.9939576314173,379.39156012204154,379.6800076922349,2265832
2025-08-12 15:09:23.377441,378.91090423711586,378.9967195588369,378.87511280021357,378.91090423711586,1040736
2025-08-12 16:09:23.377441,379.1490477190114,379.28833400108556,378.989952997705,379.1490477190114,2335250
2025-08-12 17:09:23.377441,378.46049479193175,378.8062504816102,378.1335492192246,378.46049479193175,1209124
2025-08-12 18:09:23.377441,377.3914924767241,377.69460537964727,376.9086332965942,377.3914924767241,4323858
2025-08-12 19:09:23.377441,378.49773922942404,379.0627184781488,378.10344879917824,378.49773922942404,3727520
2025-08-12 20:09:23.377441,378.32682759081257,378.42940092268003,378.1060571258954,378.32682759081257,3564462
2025-08-12 21:09:23.377441,378.37792305371755,378.3860079661744,378.32891658684974,378.37792305371755,4482127
2025-08-12 22:09:23.377441,377.29973653456955,377.5816593042476,377.08095653360004,377.29973653456955,3757398
2025-08-12 23:09:23.377441,376.8889456174949,377.80261497311267,376.6225256228813,376.8889456174949,1388742
2025-08-13 00:09:23.377441,376.97255661325676,377.30581746648517,376.6500356091508,376.97255661325676,3321945
2025-08-13 01:09:23.377441,376.1047706302041,376.38190113511035,375.48439299678546,376.1047706302041,1642911
2025-08-13 02:09:23.377441,376.38737426423637,376.4932624047683,375.98440996670627,376.38737426423637,4445259
2025-08-13 03:09:23.377441,375.93522862547627,375.960412796072,375.6609453541835,375.93522862547627,1676935
2025-08-13 04:09:23.377441,375.715912712442,375.90975928652585,375.58012247521265,375.715912712442,2685124
2025-08-13 05:09:23.377441,375.2637712144442,375.850138065395,374.7785020420192,375.2637712144442,4123305
2025-08-13 06:09:23.377441,376.65395700815833,376.85322679254654,376.43836393250086,376.65395700815833,1432859
2025-08-13 07:09:23.377441,376.643789441946,376.9429443006986,376.47407246499,376.643789441946,4599300
2025-08-13 08:09:23.377441,375.8470289371138,376.3184498902392,375.1442640212426,375.8470289371138,1401072
2025-08-13 09:09:23.377441,376.46533105987646,376.5758454439948,376.02795972045794,376.46533105987646,3528537
2025-08-13 10:09:23.377441,375.54612044215907,376.05557947594787,375.43978872794065,375.54612044215907,3095637
2025-08-13 11:09:23.377441,375.7029962677703,375.8782354097197,375.5899623593131,375.7029962677703,3788302
2025-08-13 12:09:23.377441,374.2304883932942,374.2438265226215,373.77786524905196,374.2304883932942,4438860
2025-08-13 13:09:23.377441,373.23639296578136,373.8392189389142,373.09121194789753,373.23639296578136,4648923
2025-08-13 14:09:23.377441,373.3833445209625,373.8182387966249,373.28944846379756,373.3833445209625,2387168
2025-08-13 15:09:23.377441,373.93480676387384,374.2094961231942,373.86216277354725,373.93480676387384,1956010
2025-08-13 16:09:23.377441,374.06296789409834,374.3660533254314,373.78025428243996,374.06296789409834,4521302
2025-08-13 17:09:23.377441,373.9764484146143,374.0514565706561,373.5842566480499,373.9764484146143,1743264
2025-08-13 18:09:23.377441,373.7512370332523,374.1805416635039,373.1325265769419,373.7512370332523,3557674
2025-08-13 19:09:23.377441,372.64603818749094,373.02458016383764,372.46584091631547,372.64603818749094,1665329
2025-08-13 20:09:23.377441,372.10954400274994,372.1324956635511,371.8817508503539,372.10954400274994,1274548
